,harga,longitude,latitude,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,jumlah_lantai,garasi,carport,kode_pos,taman,pagar,keamanan 24 jam,lat_long,jarak_simpanglima,jarak_bandara,jarak_stasiun
48,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",70,30.0,2,1,1,0,1,50125,yes,no,yes,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
49,235000000,110.47,-6.96369,"Genuk, Semarang",60,80.0,1,4,1,0,0,50115,no,no,no,"-6.96369,110.47",5.970068367563139,10.24910814431376,6.182389554516221
50,235000000,110.36603,-7.08624,"Gunung Pati, Semarang",130,36.0,2,1,1,0,1,50229,no,no,no,"-7.08624,110.36603",12.34435006254316,11.92314511247801,13.65371520192791
51,235000000,110.36603,-7.08624,"Gunung Pati, Semarang",120,36.0,2,1,1,0,1,50229,no,no,no,"-7.08624,110.36603",12.34435006254316,11.92314511247801,13.65371520192791
52,235000000,110.36603,-7.08624,"Gunung Pati, Semarang",120,36.0,2,1,1,1,1,50229,no,no,no,"-7.08624,110.36603",12.34435006254316,11.92314511247801,13.65371520192791
53,235000000,110.36603,-7.08624,"Gunung Pati, Semarang",121,36.0,1,1,1,1,1,50229,no,yes,no,"-7.08624,110.36603",12.34435006254316,11.92314511247801,13.65371520192791
54,235000000,110.42781,-6.9958,"Semarang Selatan, Semarang",80,40.0,2,1,1,0,1,50241,no,no,no,"-6.9958,110.42781",0.8242231279549267,5.745976862427982,2.921728459222073
55,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",70,30.0,2,1,1,1,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
56,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",60,36.0,2,1,1,0,1,50125,no,yes,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
57,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",70,30.0,2,1,2,1,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
58,235000000,110.46427,-7.06513,"Tembalang, Semarang",60,30.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
59,235000000,110.4641152,-7.0651842,"Tembalang, Semarang",60,45.0,2,1,1,0,0,50277,yes,yes,no,"-7.0651842,110.4641152",9.4623032249648,13.41256919927435,11.57904133584662
60,235000000,110.47585,-7.0089,"Pedurungan, Semarang",65,30.0,2,1,1,0,1,50193,no,no,no,"-7.0089,110.47585",6.204417785257691,11.24330357807216,7.838708512685186
61,235000000,110.38487,-6.97892,"Semarang Barat, Semarang",75,36.0,2,1,1,0,1,50144,no,no,no,"-6.97892,110.38487",4.384759125376058,0.6988443482035506,3.375834275428753
62,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",98,36.0,2,1,1,0,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
63,235000000,110.47585,-7.043217190118,"Tembalang, Semarang",60,30.0,2,1,1,0,1,50272,no,no,no,"-7.043217190118,110.48375356628",8.921504875551053,13.61305213186651,10.89462437956176
64,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",60,60.0,2,1,1,1,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
65,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",98,36.0,2,1,1,0,0,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
66,235000000,110.46427,-7.06513,"Tembalang, Semarang",60,60.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
67,235000000,110.46427,-7.06513,"Tembalang, Semarang",60,30.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
68,235000000,110.46427,-7.06513,"Tembalang, Semarang",60,30.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
69,235000000,110.46427,-7.06513,"Tembalang, Semarang",72,36.0,2,1,1,0,0,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
70,235000000,110.46427,-7.06513,"Tembalang, Semarang",60,30.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
71,235000000,110.46427,-7.06513,"Tembalang, Semarang",60,30.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
72,235000000,110.46427,-7.06513,"Tembalang, Semarang",60,30.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
73,235000000,110.46427,-7.06513,"Tembalang, Semarang",60,30.0,2,1,1,0,2,50277,yes,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
74,235000000,110.43616,-6.98345,"Semarang Timur, Semarang",60,36.0,2,1,1,0,1,50125,yes,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
75,235000000,110.40624,-7.00436,"Gajah Mungkur, Semarang",60,36.0,2,1,1,0,1,50233,no,yes,no,"-7.00436,110.40624",2.420509337117762,4.139006735375456,3.616137597277832
76,235000000,110.38752890991,-7.0149660496837,"Gajah Mungkur, Semarang",60,36.0,2,1,1,0,1,50236,no,no,no,"-7.0149660496837,110.38752890991",4.776058366457328,4.082752290046483,5.55207733674871
77,235000000,110.47,-6.96369,"Genuk, Semarang",84,45.0,2,1,1,0,1,50115,no,no,no,"-6.96369,110.47",5.970068367563139,10.24910814431376,6.182389554516221
78,240000000,110.4641152,-7.0651842,"Tembalang, Semarang",60,36.0,2,1,1,0,0,50277,no,no,no,"-7.0651842,110.4641152",9.4623032249648,13.41256919927435,11.57904133584662
79,240000000,110.4641152,-7.0651842,"Tembalang, Semarang",60,36.0,2,1,1,1,0,50277,no,no,no,"-7.0651842,110.4641152",9.4623032249648,13.41256919927435,11.57904133584662
80,240000000,110.46427,-7.06513,"Tembalang, Semarang",72,45.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
81,240000000,110.46427,-7.06513,"Tembalang, Semarang",62,62.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
82,240800000,110.46427,-7.06513,"Tembalang, Semarang",66,50.0,2,1,1,0,0,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
83,245000000,110.47585,-7.0089,"Pedurungan, Semarang",60,36.0,2,1,1,0,1,50193,no,no,no,"-7.0089,110.47585",6.204417785257691,11.24330357807216,7.838708512685186
84,245000000,110.47585,-7.0089,"Pedurungan, Semarang",72,36.0,2,1,1,0,1,50193,no,no,no,"-7.0089,110.47585",6.204417785257691,11.24330357807216,7.838708512685186
85,248400000,110.46427,-7.06513,"Tembalang, Semarang",72,36.0,2,1,1,0,0,50277,yes,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
86,250000000,110.47,-6.96369,"Genuk, Semarang",63,63.0,2,1,1,0,1,50115,no,no,no,"-6.96369,110.47",5.970068367563139,10.24910814431376,6.182389554516221
87,250000000,110.3662803,-7.086244788,"Gunung Pati, Semarang",120,45.0,2,1,1,0,0,50229,no,no,no,"-7.0862962,110.3662803",12.33564716027959,11.92614318175868,13.64853996969154
88,250000000,110.36603,-7.08624,"Gunung Pati, Semarang",120,30.0,2,1,1,0,0,50229,no,no,no,"-7.08624,110.36603",12.34435006254316,11.92314511247801,13.65371520192791
89,250000000,110.36603,-7.08624,"Gunung Pati, Semarang",77,36.0,2,1,1,0,0,50229,no,no,no,"-7.08624,110.36603",12.34435006254316,11.92314511247801,13.65371520192791
90,250000000,110.36603,-7.08624,"Gunung Pati, Semarang",120,45.0,2,1,1,1,1,50229,no,no,no,"-7.08624,110.36603",12.34435006254316,11.92314511247801,13.65371520192791
91,250000000,110.30158,-7.00234,"Ngaliyan, Semarang",60,60.0,2,1,1,0,1,50185,no,no,no,"-7.00234,110.30158",13.47495794397374,8.883079355300815,12.93009738658957
92,250000000,110.43616,-6.98345,"Semarang Timur, Semarang",90,90.0,3,2,1,1,1,50125,no,no,no,"-6.98345,110.43616",1.641033943663481,6.383578825933538,2.637830349374146
93,250000000,110.41763,-6.95449,"Semarang Utara, Semarang",100,90.0,2,1,1,0,0,50178,no,no,no,"-6.95449,110.41763",3.989156647148446,5.107790040579067,2.048920073909824
94,250000000,110.46427,-7.06513,"Tembalang, Semarang",70,30.0,2,1,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
95,250000000,110.4641152,-7.0651842,"Tembalang, Semarang",60,42.0,2,1,1,1,0,50277,no,no,no,"-7.0651842,110.4641152",9.4623032249648,13.41256919927435,11.57904133584662
96,250000000,110.45731771423,-7.0413644560496,"Tembalang, Semarang",65,36.0,2,1,1,0,1,50272,no,no,no,"-7.0413644560496,110.45731771423",6.818843142379772,11.09407076995815,8.919998443040432
97,250000000,110.46427,-7.06513,"Tembalang, Semarang",72,72.0,2,1,1,1,1,50277,no,yes,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
98,250000000,110.46427,-7.06513,"Tembalang, Semarang",66,66.0,2,2,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
99,250000000,110.46427,-7.06513,"Tembalang, Semarang",66,66.0,2,2,1,0,1,50277,no,no,no,"-7.06513,110.46427",9.465292506239196,13.42038372451164,11.5818152532134
100,255000000,110.4282437,-7.086244788,"Banyumanik, Semarang",60,30.0,2,1,1,0,0,50266,no,no,no,"-7.0875527,110.4282437",10.7854750727409,13.18534264990931,12.77723724309503
101,255000000,110.42865,-7.08514,"Banyumanik, Semarang",60,30.0,2,1,1,0,1,50266,no,no,no,"-7.08514,110.42865",10.52166459335968,12.96234273217946,12.51767049339646
102,255000000,110.4282437,-7.086244788,"Banyumanik, Semarang",60,30.0,2,1,1,0,0,50266,no,no,no,"-7.0875527,110.4282437",10.7854750727409,13.18534264990931,12.77723724309503
103,255000000,110.47,-6.96369,"Genuk, Semarang",60,36.0,2,1,1,0,1,50115,yes,no,no,"-6.96369,110.47",5.970068367563139,10.24910814431376,6.182389554516221
104,255000000,110.32840209015,-6.9962914358463,"Ngaliyan, Semarang",70,60.0,2,1,1,0,0,50185,no,no,no,"-6.9962914358463,110.32840209015",10.46583152148975,5.856360949598918,9.894038229423066
105,255000000,110.30158,-7.00234,"Ngaliyan, Semarang",70,60.0,2,1,1,0,0,50185,no,no,no,"-7.00234,110.30158",13.47495794397374,8.883079355300815,12.93009738658957
106,255000000,110.47585,-7.0089,"Pedurungan, Semarang",60,36.0,2,1,1,0,1,50193,no,no,no,"-7.0089,110.47585",6.204417785257691,11.24330357807216,7.838708512685186
