,harga,longitude,latitude,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,jumlah_lantai,garasi,carport,kode_pos,taman,pagar,keamanan 24 jam,jarak_simpanglima,jarak_bandara
95,250000000,110.4641152,-7.0651842,Tembalang,60,42.0,2,1,1,1,0,50277,no,no,no,9.4623032249648,13.41256919927435
96,250000000,110.45731771423,-7.0413644560496,Tembalang,65,36.0,2,1,1,0,1,50272,no,no,no,6.818843142379772,11.09407076995815
97,250000000,110.46427,-7.06513,Tembalang,72,72.0,2,1,1,1,1,50277,no,yes,no,9.465292506239196,13.420383724511643
98,250000000,110.46427,-7.06513,Tembalang,66,66.0,2,2,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
99,250000000,110.46427,-7.06513,Tembalang,66,66.0,2,2,1,0,1,50277,no,no,no,9.465292506239196,13.420383724511643
100,255000000,110.4282437,-7.086244788,Banyumanik,60,30.0,2,1,1,0,0,50266,no,no,no,10.785475072740905,13.185342649909307
101,255000000,110.42865,-7.08514,Banyumanik,60,30.0,2,1,1,0,1,50266,no,no,no,10.521664593359683,12.962342732179462
102,255000000,110.4282437,-7.086244788,Banyumanik,60,30.0,2,1,1,0,0,50266,no,no,no,10.785475072740905,13.185342649909307
103,255000000,110.47,-6.96369,Genuk,60,36.0,2,1,1,0,1,50115,yes,no,no,5.970068367563139,10.249108144313757
104,255000000,110.32840209015,-6.9962914358463,Ngaliyan,70,60.0,2,1,1,0,0,50185,no,no,no,10.465831521489747,5.856360949598918
105,255000000,110.30158,-7.00234,Ngaliyan,70,60.0,2,1,1,0,0,50185,no,no,no,13.474957943973742,8.883079355300815
106,255000000,110.47585,-7.0089,Pedurungan,60,36.0,2,1,1,0,1,50193,no,no,no,6.204417785257691,11.243303578072164
107,255000000,110.43616,-6.98345,Semarang Timur,63,40.0,2,1,1,1,1,50125,yes,yes,no,1.6410339436634809,6.3835788259335375
108,255000000,110.4717372699,-7.0515437541153,Tembalang,66,66.0,2,2,1,0,1,50272,yes,no,no,8.66942539443515,13.042416866293266
109,256000000,110.43616,-6.98345,Semarang Timur,60,36.0,2,1,1,0,1,50125,no,no,no,1.6410339436634809,6.3835788259335375
110,259000000,110.36603,-7.08624,Gunung Pati,138,36.0,2,1,1,1,0,50229,no,no,no,12.344350062543162,11.923145112478005
111,259000000,110.391618274,-7.0826839267461,Gunung Pati,121,36.0,2,1,1,1,1,50266,no,no,no,10.799706198979635,11.540044282423032
112,260000000,110.42865,-7.08514,Banyumanik,86,36.0,2,1,1,0,1,50266,no,no,no,10.521664593359683,12.962342732179462
